,資料庫,,DynamoDB,,,,,補充,Mongo,,,
No,資料表,資料庫欄位,第一層欄位,第二層欄位,資料型態,原資料型態,不固定資料,,第一層欄位,第二層欄位,資料型態,備註
1,"PK
C_Order_M
(訂單主檔)",,coom_no,,string,varchar(15),,,_id,,string,Unique Index
2,"GLOBAL SECOND KEY
C_Order_C.Cooc_No
(訂單購物檔)",,cooc_no,,string,varchar(15),,,cooc_no,,string,
3,"C_Order_M
(訂單主檔)",Coom_Order_date,c_order_m,coom_order_date,string,dateTime,,,c_order_m,coom_order_date,string,
4,,Coom_Name,,coom_name,string,nvarchar(100),,,,coom_name,string,
5,,Coom_Status,,coom_status,string,varchar(3),,,,coom_status,string,
6,,Coom_Temp_Type,,coom_temp_type,string,varchar(2),,,,coom_temp_type,string,
7,,Coom_Create_Datetime,,coom_create_datetime,string,datetime,,,,coom_create_datetime,string,
8,,Coom_CuamCid,,coom_cuam_cid,number,int,,,,coom_cuam_cid,Int32,
9,,Coom_ReChoice_Flag,,coom_rechoice_flag,number,int,v,,,coom_rechoice_flag,Int32,
10,,Coom_MergeList_CoomNo,,coom_merge_list_coom_no,string,varchar(500),v,,,coom_merge_list_coom_no,string,
11,,Coom_Seller_Memo,,coom_seller_memo,string,nvarchar(200),v,,,coom_seller_memo,string,
12,,Coom_Seller_GoodsTotalAmt,,coom_seller_goods_total_amt,number,int,,,,coom_seller_goods_total_amt,Int32,
13,,Coom_Goods_ItemNum,,coom_goods_item_num,number,int,,,,coom_goods_item_num,Int32,
14,,Coom_Goods_TotalNum,,coom_goods_total_num,number,int,,,,coom_goods_total_num,Int32,
15,,Coom_Rcv_TotalAmt,,coom_rcv_total_amt,number,int,,,,coom_rcv_total_amt,Int32,
16,,Coom_CgdmId,,coom_cgdm_id,string,varchar(15),,,,coom_cgdm_id,string,
17,,Coom_Ship_PrintFlag,,coom_ship_print_flag,string,varchar(1),v,,,coom_ship_print_flag,string,
18,,Coom_CccmNo,,coom_cccm_no,string,varchar(15),v,,,coom_cccm_no,string,
19,"C_Order_C
(訂單購物檔)",Cooc_Payment_Type,c_order_c,cooc_payment_type,string,varchar(2),,,c_order_c,cooc_payment_type,string,
20,,Cooc_Payment_PayDatetime,,cooc_payment_pay_datetime,string,datetime,,,,cooc_payment_pay_datetime,string,
21,,Cooc_Deliver_Method,,cooc_deliver_method,string,varchar(2),,,,cooc_deliver_method,string,
22,,Cooc_Ord_Channel_Kind,,cooc_ord_channel_kind,string,varchar(2),,,,cooc_ord_channel_kind,string,
23,,Cooc_Create_Datetime,,cooc_create_datetime,string,datetime,,,,cooc_create_datetime,string,
24,,Cooc_MemSid,,cooc_mem_sid,number,int,,,,cooc_mem_sid,Int32,
25,,Cooc_Payment_Code,,cooc_payment_code,string,varchar(20),v,,,cooc_payment_code,string,
26,,Cooc_Ord_Name_Enc,,cooc_ord_name_enc,string,nvarchar(500),v,,,cooc_ord_name_enc,string,
27,,Cooc_Rcv_Name_Enc,,cooc_rcv_name_enc,string,nvarchar(500),,,,cooc_rcv_name_enc,string,
28,,Cooc_Rcv_Mobile_Enc,,cooc_rcv_mobile_enc,string,nvarchar(500),,,,cooc_rcv_mobile_enc,string,
