,資料庫,,,,,OpenSearch,,,,,補充說明,Elasticsearch,,,,,,,,,,,,
No,資料表,欄位名稱,資料型態,資料用途,不固定資料,第一層欄位名稱,第二層欄位名稱,資料型態,,欄位行為,,第一層欄位名稱,第二層欄位名稱,Elasticsearch 資料型態,備註,,,,,,,,,
1,C_Order_M,Coom_No,varchar(15),訂單編號,,coom_no,,keyword,15,Regexp,,coomNo,,Text,Unique Index,,,,,,,,,
2,,Coom_Name,nvarchar(100),賣場名稱,,coom_name,,keyword,100,Wildcard,,coomname,,Text,,,,,,,,,,
3,,Coom_Status,varchar(3),訂單狀態,v,coom_status,,keyword,3,Term,,coomstatus,,Text,,,,,,,,,,
4,,Coom_Temp_Type,varchar(2),溫層,,coom_temp_type,,keyword,2,Term,,coomTempType,,Text,,,,,,,,,,
5,,Coom_Create_Datetime,datetime,訂單日期,,coom_create_datetime,,date,,Range,,coomCreateDatetime,,Date,,,,,,,,,,
6,,Coom_CuamCid,int,賣家ID,,coom_cuam_cid,,keyword,48,Term,,coomCuamCid,,Text,,,,,,,,,,
7,,Coom_Rcv_TotalAmt,int,訂單總金額,,coom_rcv_totalamt,,integer,,GROUP BY,20250423退貨便新增(ESAPP需求),coomRcvTotalAmt,,Number,,,,,,,,,,
8,C_Order_C,Cooc_No,varchar(15),購物車主檔ID,,cooc_no,,keyword,15,Regexp,,coocNo,,Text,,,,,,,,,,
9,,Cooc_Payment_Type,varchar(2),付款方式,,cooc_payment_type,,keyword,2,Term,,coocPaymentType,,Text,,,,,,,,,,
10,,Cooc_Payment_PayDatetime,datetime,付款日期,v,cooc_payment_pay_datetime,,date,,Range,,coocPaymentPayDatetime,,Date,,,,,,,,,,
11,,Cooc_Deliver_Method,varchar(2),配送方式,,cooc_deliver_method,,keyword,2,Term,,coocDeliverMethod,,Text,,,,,,,,,,
12,,Cooc_Ord_Channel_Kind,varchar(2),賣場類型,,cooc_ord_channel_kind,,keyword,2,Term,,coocOrdChannelKind,,Text,,,,,,,,,,
13,,Cooc_MemSid,int,買家ID,,cooc_mem_sid,,keyword,48,Term,,coocMemSid,,Text,,,,,,,,,,
14,C_Order_D,Cood_Name,nvarchar(200),商品名稱,,cood_name,,keyword,200,Wildcard,,coodNames,,Text,,,,,,,,,,
15,E_Shipment_M,Esmm_Ship_No,varchar(20),配送編號,v,esmm_ship_no,,keyword,20,Regexp,,esmmShipNo,,Text,,,,,,,,,,
